AllResult;SumOfWinNum
0,0,2,1,2;95343.635
0,0,2,1,3;93764.66
0,0,2,1,4;93378.66
0,0,2,1,5;93764.66
0,0,2,1,6;93378.66
0,0,2,1,7;93378.66
0,0,2,1,8;94697.45
0,0,2,1,9;93378.66
0,0,2,2,0;125212.06
0,0,2,2,1;96137.25
0,0,2,2,2;130841.425
0,0,2,2,3;95751.25
0,0,2,2,4;95751.25
0,0,2,2,5;95751.25
0,0,2,2,6;95751.25
0,0,2,2,7;95751.25
0,0,2,2,8;96684.04
0,0,2,2,9;95751.25
0,0,2,3,0;118399.4
0,0,2,3,1;93378.66
0,0,2,3,2;94957.635
0,0,2,3,3;94282.135
0,0,2,3,4;93378.66
0,0,2,3,5;93378.66
0,0,2,3,6;93378.66
0,0,2,3,7;93378.66
0,0,2,3,8;94311.45
0,0,2,3,9;93378.66
0,0,2,4,0;118399.4
0,0,2,4,1;93378.66
0,0,2,4,2;94957.635
0,0,2,4,3;93378.66
0,0,2,4,4;94282.135
0,0,2,4,5;93378.66
0,0,2,4,6;93378.66
0,0,2,4,7;93378.66
0,0,2,4,8;94311.45
0,0,2,4,9;93378.66
0,0,2,5,0;121615.85
0,0,2,5,1;96981.11
0,0,2,5,2;98174.085
0,0,2,5,3;96595.11
0,0,2,5,4;96595.11
0,0,2,5,5;97498.585
0,0,2,5,6;96595.11
0,0,2,5,7;96595.11
0,0,2,5,8;97913.9
0,0,2,5,9;96595.11
0,0,2,6,0;118399.4
0,0,2,6,1;93378.66
0,0,2,6,2;94957.635
0,0,2,6,3;93378.66
0,0,2,6,4;93378.66
0,0,2,6,5;93378.66
0,0,2,6,6;94282.135
0,0,2,6,7;93378.66
0,0,2,6,8;94697.45
0,0,2,6,9;93764.66
0,0,2,7,0;118399.4
0,0,2,7,1;93378.66
0,0,2,7,2;94957.635
0,0,2,7,3;93378.66
0,0,2,7,4;93378.66
0,0,2,7,5;93378.66
0,0,2,7,6;93378.66
0,0,2,7,7;94282.135
0,0,2,7,8;94311.45
0,0,2,7,9;93378.66
0,0,2,8,0;119332.19
0,0,2,8,1;95083.45
0,0,2,8,2;95890.425
0,0,2,8,3;94311.45
0,0,2,8,4;94311.45
0,0,2,8,5;94697.45
0,0,2,8,6;94697.45
0,0,2,8,7;94311.45
0,0,2,8,8;94925.425
0,0,2,8,9;94311.45
0,0,2,9,0;118399.4
0,0,2,9,1;93378.66
0,0,2,9,2;94957.635
0,0,2,9,3;93378.66
0,0,2,9,4;93378.66
0,0,2,9,5;93378.66
0,0,2,9,6;93764.66
0,0,2,9,7;93378.66
0,0,2,9,8;94311.45
0,0,2,9,9;94282.135
0,0,3,0,0;219890.8
0,0,3,0,1;119193.015
0,0,3,0,2;119193.015
0,0,3,0,3;125212.06
0,0,3,0,4;119193.015
0,0,3,0,5;119193.015
0,0,3,0,6;119193.015
0,0,3,0,7;119193.015
0,0,3,0,8;120125.805
0,0,3,0,9;119193.015
0,0,3,1,0;118399.4
0,0,3,1,1;94282.135
0,0,3,1,2;93764.66
0,0,3,1,3;95343.635
0,0,3,1,4;93378.66
0,0,3,1,5;93764.66
0,0,3,1,6;93378.66
0,0,3,1,7;93378.66
0,0,3,1,8;94697.45
0,0,3,1,9;93378.66
0,0,3,2,0;118399.4
0,0,3,2,1;93764.66
0,0,3,2,2;94282.135
0,0,3,2,3;94957.635
0,0,3,2,4;93378.66
0,0,3,2,5;93378.66
0,0,3,2,6;93378.66
0,0,3,2,7;93378.66
0,0,3,2,8;94311.45
0,0,3,2,9;93378.66
0,0,3,3,0;125212.06
0,0,3,3,1;95751.25
0,0,3,3,2;95751.25
0,0,3,3,3;130841.425
0,0,3,3,4;95751.25
0,0,3,3,5;95751.25
0,0,3,3,6;95751.25
0,0,3,3,7;95751.25
0,0,3,3,8;96684.04
0,0,3,3,9;95751.25
0,0,3,4,0;118399.4
0,0,3,4,1;93378.66
0,0,3,4,2;93378.66
0,0,3,4,3;94957.635
0,0,3,4,4;94282.135
0,0,3,4,5;93378.66
0,0,3,4,6;93378.66
0,0,3,4,7;93378.66
0,0,3,4,8;94311.45
0,0,3,4,9;93378.66
0,0,3,5,0;121615.85
0,0,3,5,1;96981.11
0,0,3,5,2;96595.11
0,0,3,5,3;98174.085
0,0,3,5,4;96595.11
0,0,3,5,5;97498.585
0,0,3,5,6;96595.11
0,0,3,5,7;96595.11
0,0,3,5,8;97913.9
0,0,3,5,9;96595.11
0,0,3,6,0;118399.4
0,0,3,6,1;93378.66
0,0,3,6,2;93378.66
0,0,3,6,3;94957.635
0,0,3,6,4;93378.66
0,0,3,6,5;93378.66
0,0,3,6,6;94282.135
0,0,3,6,7;93378.66
0,0,3,6,8;94697.45
0,0,3,6,9;93764.66
0,0,3,7,0;118399.4
0,0,3,7,1;93378.66
0,0,3,7,2;93378.66
0,0,3,7,3;94957.635
0,0,3,7,4;93378.66
0,0,3,7,5;93378.66
0,0,3,7,6;93378.66
0,0,3,7,7;94282.135
0,0,3,7,8;94311.45
0,0,3,7,9;93378.66
0,0,3,8,0;119332.19
0,0,3,8,1;95083.45
0,0,3,8,2;94311.45
0,0,3,8,3;95890.425
0,0,3,8,4;94311.45
0,0,3,8,5;94697.45
0,0,3,8,6;94697.45
0,0,3,8,7;94311.45
0,0,3,8,8;94925.425
0,0,3,8,9;94311.45
0,0,3,9,0;118399.4
0,0,3,9,1;93378.66
0,0,3,9,2;93378.66
0,0,3,9,3;94957.635
0,0,3,9,4;93378.66
0,0,3,9,5;93378.66
0,0,3,9,6;93764.66
0,0,3,9,7;93378.66
0,0,3,9,8;94311.45
0,0,3,9,9;94282.135
0,0,4,0,0;219890.8
0,0,4,0,1;119193.015
0,0,4,0,2;119193.015
0,0,4,0,3;119193.015
0,0,4,0,4;125212.06
0,0,4,0,5;119193.015
0,0,4,0,6;119193.015
0,0,4,0,7;119193.015
0,0,4,0,8;120125.805
0,0,4,0,9;119193.015
0,0,4,1,0;118399.4
0,0,4,1,1;94282.135
0,0,4,1,2;93764.66
0,0,4,1,3;93764.66
0,0,4,1,4;94957.635
0,0,4,1,5;93764.66
0,0,4,1,6;93378.66
0,0,4,1,7;93378.66
0,0,4,1,8;94697.45
0,0,4,1,9;93378.66
0,0,4,2,0;118399.4
0,0,4,2,1;93764.66
0,0,4,2,2;94282.135
0,0,4,2,3;93378.66
0,0,4,2,4;94957.635
0,0,4,2,5;93378.66
0,0,4,2,6;93378.66
0,0,4,2,7;93378.66
0,0,4,2,8;94311.45
0,0,4,2,9;93378.66
0,0,4,3,0;118399.4
0,0,4,3,1;93378.66
0,0,4,3,2;93378.66
0,0,4,3,3;94282.135
0,0,4,3,4;94957.635
0,0,4,3,5;93378.66
0,0,4,3,6;93378.66
0,0,4,3,7;93378.66
0,0,4,3,8;94311.45
0,0,4,3,9;93378.66
0,0,4,4,0;125212.06
0,0,4,4,1;95751.25
0,0,4,4,2;95751.25
0,0,4,4,3;95751.25
0,0,4,4,4;130841.425
0,0,4,4,5;95751.25
0,0,4,4,6;95751.25
0,0,4,4,7;95751.25
0,0,4,4,8;96684.04
0,0,4,4,9;95751.25
0,0,4,5,0;121615.85
0,0,4,5,1;96981.11
0,0,4,5,2;96595.11
0,0,4,5,3;96595.11
0,0,4,5,4;98174.085
0,0,4,5,5;97498.585
0,0,4,5,6;96595.11
0,0,4,5,7;96595.11
0,0,4,5,8;97913.9
0,0,4,5,9;96595.11
0,0,4,6,0;118399.4
0,0,4,6,1;93378.66
0,0,4,6,2;93378.66
0,0,4,6,3;93378.66
0,0,4,6,4;94957.635
0,0,4,6,5;93378.66
0,0,4,6,6;94282.135
0,0,4,6,7;93378.66
0,0,4,6,8;94697.45
0,0,4,6,9;93764.66
0,0,4,7,0;118399.4
0,0,4,7,1;93378.66
0,0,4,7,2;93378.66
0,0,4,7,3;93378.66
0,0,4,7,4;94957.635
0,0,4,7,5;93378.66
0,0,4,7,6;93378.66
0,0,4,7,7;94282.135
0,0,4,7,8;94311.45
0,0,4,7,9;93378.66
0,0,4,8,0;119332.19
0,0,4,8,1;95083.45
0,0,4,8,2;94311.45
0,0,4,8,3;94311.45
0,0,4,8,4;95890.425
0,0,4,8,5;94697.45
0,0,4,8,6;94697.45
0,0,4,8,7;94311.45
0,0,4,8,8;94925.425
0,0,4,8,9;94311.45
0,0,4,9,0;118399.4
0,0,4,9,1;93378.66
0,0,4,9,2;93378.66
0,0,4,9,3;93378.66
0,0,4,9,4;94957.635
0,0,4,9,5;93378.66
0,0,4,9,6;93764.66
0,0,4,9,7;93378.66
0,0,4,9,8;94311.45
0,0,4,9,9;94282.135
0,0,5,0,0;223107.25
0,0,5,0,1;122409.465
0,0,5,0,2;122409.465
0,0,5,0,3;122409.465
0,0,5,0,4;122409.465
0,0,5,0,5;128428.51
0,0,5,0,6;122409.465
0,0,5,0,7;122409.465
0,0,5,0,8;123342.255
0,0,5,0,9;122409.465
0,0,5,1,0;121615.85
0,0,5,1,1;97498.585
0,0,5,1,2;96981.11
0,0,5,1,3;96981.11
0,0,5,1,4;96595.11
0,0,5,1,5;98560.085
0,0,5,1,6;96595.11
0,0,5,1,7;96595.11
0,0,5,1,8;100808.705
0,0,5,1,9;96595.11
0,0,5,2,0;121615.85
0,0,5,2,1;96981.11
0,0,5,2,2;97498.585
0,0,5,2,3;96595.11
0,0,5,2,4;96595.11
0,0,5,2,5;98174.085
0,0,5,2,6;96595.11
0,0,5,2,7;96595.11
0,0,5,2,8;97527.9
0,0,5,2,9;96595.11
0,0,5,3,0;121615.85
0,0,5,3,1;96595.11
0,0,5,3,2;96595.11
0,0,5,3,3;97498.585
0,0,5,3,4;96595.11
0,0,5,3,5;98174.085
0,0,5,3,6;96595.11
0,0,5,3,7;96595.11
0,0,5,3,8;97527.9
0,0,5,3,9;96595.11
0,0,5,4,0;121615.85
0,0,5,4,1;96595.11
0,0,5,4,2;96595.11
0,0,5,4,3;96595.11
0,0,5,4,4;97498.585
0,0,5,4,5;98174.085
0,0,5,4,6;96595.11
0,0,5,4,7;96595.11
0,0,5,4,8;97527.9
0,0,5,4,9;96595.11
0,0,5,5,0;128428.51
0,0,5,5,1;99353.7
0,0,5,5,2;98967.7
0,0,5,5,3;98967.7
0,0,5,5,4;98967.7
0,0,5,5,5;134057.875
0,0,5,5,6;98967.7
0,0,5,5,7;98967.7
0,0,5,5,8;101573.07
0,0,5,5,9;98967.7
0,0,5,6,0;121615.85
0,0,5,6,1;96595.11
0,0,5,6,2;96595.11
0,0,5,6,3;96595.11
0,0,5,6,4;96595.11
0,0,5,6,5;98174.085
0,0,5,6,6;97498.585
0,0,5,6,7;96595.11
0,0,5,6,8;97913.9
0,0,5,6,9;96981.11
0,0,5,7,0;121615.85
0,0,5,7,1;96595.11
0,0,5,7,2;96595.11
0,0,5,7,3;96595.11
0,0,5,7,4;96595.11
0,0,5,7,5;98174.085
0,0,5,7,6;96595.11
0,0,5,7,7;97498.585
0,0,5,7,8;97527.9
0,0,5,7,9;96595.11
0,0,5,8,0;122548.64
0,0,5,8,1;101194.705
0,0,5,8,2;97527.9
0,0,5,8,3;97527.9
0,0,5,8,4;97527.9
0,0,5,8,5;100779.455
0,0,5,8,6;97913.9
0,0,5,8,7;97527.9
0,0,5,8,8;98141.875
0,0,5,8,9;97527.9
0,0,5,9,0;121615.85
0,0,5,9,1;96595.11
0,0,5,9,2;96595.11
0,0,5,9,3;96595.11
0,0,5,9,4;96595.11
0,0,5,9,5;98174.085
0,0,5,9,6;96981.11
0,0,5,9,7;96595.11
0,0,5,9,8;97527.9
0,0,5,9,9;97498.585
0,0,6,0,0;219890.8
0,0,6,0,1;119193.015
0,0,6,0,2;119193.015
0,0,6,0,3;119193.015
0,0,6,0,4;119193.015
0,0,6,0,5;119193.015
0,0,6,0,6;125212.06
0,0,6,0,7;119193.015
0,0,6,0,8;120125.805
0,0,6,0,9;119193.015
0,0,6,1,0;118399.4
0,0,6,1,1;94282.135
0,0,6,1,2;93764.66
0,0,6,1,3;93764.66
0,0,6,1,4;93378.66
0,0,6,1,5;93764.66
0,0,6,1,6;94957.635
0,0,6,1,7;93378.66
0,0,6,1,8;94697.45
0,0,6,1,9;93378.66
0,0,6,2,0;118399.4
0,0,6,2,1;93764.66
0,0,6,2,2;94282.135
0,0,6,2,3;93378.66
0,0,6,2,4;93378.66
0,0,6,2,5;93378.66
0,0,6,2,6;94957.635
0,0,6,2,7;93378.66
0,0,6,2,8;94311.45
0,0,6,2,9;93378.66
0,0,6,3,0;118399.4
0,0,6,3,1;93378.66
0,0,6,3,2;93378.66
0,0,6,3,3;94282.135
0,0,6,3,4;93378.66
0,0,6,3,5;93378.66
0,0,6,3,6;94957.635
0,0,6,3,7;93378.66
0,0,6,3,8;94311.45
0,0,6,3,9;93378.66
0,0,6,4,0;118399.4
0,0,6,4,1;93378.66
0,0,6,4,2;93378.66
0,0,6,4,3;93378.66
0,0,6,4,4;94282.135
0,0,6,4,5;93378.66
0,0,6,4,6;94957.635
0,0,6,4,7;93378.66
0,0,6,4,8;94311.45
0,0,6,4,9;93378.66
0,0,6,5,0;121615.85
0,0,6,5,1;96981.11
0,0,6,5,2;96595.11
0,0,6,5,3;96595.11
0,0,6,5,4;96595.11
0,0,6,5,5;97498.585
0,0,6,5,6;98174.085
0,0,6,5,7;96595.11
0,0,6,5,8;97913.9
0,0,6,5,9;96595.11
0,0,6,6,0;125212.06
0,0,6,6,1;95751.25
0,0,6,6,2;95751.25
0,0,6,6,3;95751.25
0,0,6,6,4;95751.25
0,0,6,6,5;95751.25
0,0,6,6,6;130841.425
0,0,6,6,7;95751.25
0,0,6,6,8;97070.04
0,0,6,6,9;96137.25
0,0,6,7,0;118399.4
0,0,6,7,1;93378.66
0,0,6,7,2;93378.66
0,0,6,7,3;93378.66
0,0,6,7,4;93378.66
0,0,6,7,5;93378.66
0,0,6,7,6;94957.635
0,0,6,7,7;94282.135
0,0,6,7,8;94311.45
0,0,6,7,9;93378.66
0,0,6,8,0;119332.19
0,0,6,8,1;95083.45
0,0,6,8,2;94311.45
0,0,6,8,3;94311.45
0,0,6,8,4;94311.45
0,0,6,8,5;94697.45
0,0,6,8,6;96276.425
0,0,6,8,7;94311.45
0,0,6,8,8;94925.425
0,0,6,8,9;94311.45
0,0,6,9,0;118399.4
0,0,6,9,1;93378.66
0,0,6,9,2;93378.66
0,0,6,9,3;93378.66
0,0,6,9,4;93378.66
0,0,6,9,5;93378.66
0,0,6,9,6;95343.635
0,0,6,9,7;93378.66
0,0,6,9,8;94311.45
0,0,6,9,9;94282.135
0,0,7,0,0;219890.8
0,0,7,0,1;119193.015
0,0,7,0,2;119193.015
0,0,7,0,3;119193.015
0,0,7,0,4;119193.015
0,0,7,0,5;119193.015
0,0,7,0,6;119193.015
0,0,7,0,7;125212.06
0,0,7,0,8;120125.805
0,0,7,0,9;119193.015
0,0,7,1,0;118399.4
0,0,7,1,1;94282.135
0,0,7,1,2;93764.66
0,0,7,1,3;93764.66
0,0,7,1,4;93378.66
0,0,7,1,5;93764.66
0,0,7,1,6;93378.66
0,0,7,1,7;94957.635
0,0,7,1,8;94697.45
0,0,7,1,9;93378.66
0,0,7,2,0;118399.4
0,0,7,2,1;93764.66
0,0,7,2,2;94282.135
0,0,7,2,3;93378.66
0,0,7,2,4;93378.66
0,0,7,2,5;93378.66
0,0,7,2,6;93378.66
0,0,7,2,7;94957.635
0,0,7,2,8;94311.45
0,0,7,2,9;93378.66
0,0,7,3,0;118399.4
0,0,7,3,1;93378.66
0,0,7,3,2;93378.66
0,0,7,3,3;94282.135
0,0,7,3,4;93378.66
0,0,7,3,5;93378.66
0,0,7,3,6;93378.66
0,0,7,3,7;94957.635
0,0,7,3,8;94311.45
0,0,7,3,9;93378.66
0,0,7,4,0;118399.4
0,0,7,4,1;93378.66
0,0,7,4,2;93378.66
0,0,7,4,3;93378.66
0,0,7,4,4;94282.135
0,0,7,4,5;93378.66
0,0,7,4,6;93378.66
0,0,7,4,7;94957.635
0,0,7,4,8;94311.45
0,0,7,4,9;93378.66
0,0,7,5,0;121615.85
0,0,7,5,1;96981.11
0,0,7,5,2;96595.11
0,0,7,5,3;96595.11
0,0,7,5,4;96595.11
0,0,7,5,5;97498.585
0,0,7,5,6;96595.11
0,0,7,5,7;98174.085
0,0,7,5,8;97913.9
0,0,7,5,9;96595.11
0,0,7,6,0;118399.4
0,0,7,6,1;93378.66
0,0,7,6,2;93378.66
0,0,7,6,3;93378.66
0,0,7,6,4;93378.66
0,0,7,6,5;93378.66
0,0,7,6,6;94282.135
0,0,7,6,7;94957.635
0,0,7,6,8;94697.45
0,0,7,6,9;93764.66
0,0,7,7,0;125212.06
0,0,7,7,1;95751.25
0,0,7,7,2;95751.25
0,0,7,7,3;95751.25
0,0,7,7,4;95751.25
0,0,7,7,5;95751.25
0,0,7,7,6;95751.25
0,0,7,7,7;130841.425
0,0,7,7,8;96684.04
0,0,7,7,9;95751.25
0,0,7,8,0;119332.19
0,0,7,8,1;95083.45
0,0,7,8,2;94311.45
0,0,7,8,3;94311.45
0,0,7,8,4;94311.45
0,0,7,8,5;94697.45
0,0,7,8,6;94697.45
0,0,7,8,7;95890.425
0,0,7,8,8;94925.425
0,0,7,8,9;94311.45
0,0,7,9,0;118399.4
0,0,7,9,1;93378.66
0,0,7,9,2;93378.66
0,0,7,9,3;93378.66
0,0,7,9,4;93378.66
0,0,7,9,5;93378.66
0,0,7,9,6;93764.66
0,0,7,9,7;94957.635
0,0,7,9,8;94311.45
0,0,7,9,9;94282.135
0,0,8,0,0;223107.25
0,0,8,0,1;122409.465
0,0,8,0,2;122409.465
0,0,8,0,3;122409.465
0,0,8,0,4;122409.465
0,0,8,0,5;122409.465
0,0,8,0,6;122409.465
0,0,8,0,7;122409.465
0,0,8,0,8;128718.01
0,0,8,0,9;122409.465
0,0,8,1,0;121615.85
0,0,8,1,1;97498.585
0,0,8,1,2;96981.11
0,0,8,1,3;96981.11
0,0,8,1,4;96595.11
0,0,8,1,5;99875.915
0,0,8,1,6;96595.11
0,0,8,1,7;96595.11
0,0,8,1,8;98849.585
0,0,8,1,9;96595.11
0,0,8,2,0;121615.85
0,0,8,2,1;96981.11
0,0,8,2,2;97498.585
0,0,8,2,3;96595.11
0,0,8,2,4;96595.11
0,0,8,2,5;96595.11
0,0,8,2,6;96595.11
0,0,8,2,7;96595.11
0,0,8,2,8;98463.585
0,0,8,2,9;96595.11
0,0,8,3,0;121615.85
0,0,8,3,1;96595.11
0,0,8,3,2;96595.11
0,0,8,3,3;97498.585
0,0,8,3,4;96595.11
0,0,8,3,5;96595.11
0,0,8,3,6;96595.11
0,0,8,3,7;96595.11
0,0,8,3,8;98463.585
0,0,8,3,9;96595.11
0,0,8,4,0;121615.85
0,0,8,4,1;96595.11
0,0,8,4,2;96595.11
0,0,8,4,3;96595.11
0,0,8,4,4;97498.585
0,0,8,4,5;96595.11
0,0,8,4,6;96595.11
0,0,8,4,7;96595.11
0,0,8,4,8;98463.585
0,0,8,4,9;96595.11
0,0,8,5,0;124832.3
0,0,8,5,1;103092.365
0,0,8,5,2;99811.56
0,0,8,5,3;99811.56
0,0,8,5,4;99811.56
0,0,8,5,5;102001.615
0,0,8,5,6;99811.56
