AllResult,SumOfWinNum
"01,06,07,09,11",24361.13
"01,06,07,10,11",24197.95
"01,06,08,09,10",23386.52
"01,06,08,09,11",23378.92
"01,06,08,10,11",23252.15
"01,06,09,10,11",23350.7
"01,07,08,09,10",21784.72
"01,07,08,09,11",21821.97
"01,07,08,10,11",21650.35
"01,07,09,10,11",21793.75
"01,08,09,10,11",20803.1
"02,03,04,05,06",35223.245
"02,03,04,05,07",33356.07
"02,03,04,05,08",32325.35
"02,03,04,05,09",32316.75
"02,03,04,05,10",32324.35
"02,03,04,05,11",32316.75
"02,03,04,06,07",31452.97
"02,03,04,06,08",30533.35
"02,03,04,06,09",30413.65
"02,03,04,06,10",30532.35
"02,03,04,06,11",30413.65
"02,03,04,07,08",28820.45
"02,03,04,07,09",28811.85
"02,03,04,07,10",28819.45
"02,03,04,07,11",28811.85
"02,03,04,08,09",27866.05
"02,03,04,08,10",27984.75
"02,03,04,08,11",27866.05
"02,03,04,09,10",27866.05
"02,03,04,09,11",27858.45
"02,03,04,10,11",27866.05
"02,03,05,06,07",31436.93
"02,03,05,06,08",30406.21
"02,03,05,06,09",30397.61
"02,03,05,06,10",30405.21
"02,03,05,06,11",30397.61
"02,03,05,07,08",28698.26
"02,03,05,07,09",28734.51
"02,03,05,07,10",28697.26
"02,03,05,07,11",28734.51
"02,03,05,08,09",27743.86
"02,03,05,08,10",27751.46
"02,03,05,08,11",27743.86
"02,03,05,09,10",27743.86
"02,03,05,09,11",27781.11
"02,03,05,10,11",27743.86
"02,03,06,07,08",26793.17
"02,03,06,07,09",26784.57
"02,03,06,07,10",26792.17
"02,03,06,07,11",26784.57
"02,03,06,08,09",25838.77
"02,03,06,08,10",25957.47
"02,03,06,08,11",25838.77
"02,03,06,09,10",25838.77
"02,03,06,09,11",25831.17
"02,03,06,10,11",25838.77
"02,03,07,08,09",24238.96
"02,03,07,08,10",24246.56
"02,03,07,08,11",24238.96
"02,03,07,09,10",24238.96
"02,03,07,09,11",24276.21
"02,03,07,10,11",24238.96
"02,03,08,09,10",23301.6
"02,03,08,09,11",23294
"02,03,08,10,11",23301.6
"02,03,09,10,11",23329.47
"02,04,05,06,07",34023.975
"02,04,05,06,08",33401.575
"02,04,05,06,09",32984.655
"02,04,05,06,10",33103.355
"02,04,05,06,11",32984.655
"02,04,05,07,08",31126.08
"02,04,05,07,09",31117.48
"02,04,05,07,10",31125.08
"02,04,05,07,11",31117.48
"02,04,05,08,09",30171.68
"02,04,05,08,10",30290.38
"02,04,05,08,11",30171.68
"02,04,05,09,10",30171.68
"02,04,05,09,11",30164.08
"02,04,05,10,11",30171.68
"02,04,06,07,08",29332.09
"02,04,06,07,09",29212.39
"02,04,06,07,10",29331.09
"02,04,06,07,11",29212.39
"02,04,06,08,09",28377.69
"02,04,06,08,10",32687.64
"02,04,06,08,11",28377.69
"02,04,06,09,10",28377.69
"02,04,06,09,11",28258.99
"02,04,06,10,11",28377.69
"02,04,07,08,09",26666.78
"02,04,07,08,10",26785.48
"02,04,07,08,11",26666.78
"02,04,07,09,10",26666.78
"02,04,07,09,11",26659.18
"02,04,07,10,11",26666.78
"02,04,08,09,10",25840.52
"02,04,08,09,11",25721.82
"02,04,08,10,11",25840.52
"02,04,09,10,11",25757.29
"02,05,06,07,08",30168.74
"02,05,06,07,09",30160.14
"02,05,06,07,10",30167.74
"02,05,06,07,11",30160.14
"02,05,06,08,09",29214.34
"02,05,06,08,10",29333.04
"02,05,06,08,11",29214.34
"02,05,06,09,10",29214.34
"02,05,06,09,11",29206.74
"02,05,06,10,11",29214.34
"02,05,07,08,09",38335.42
"02,05,07,08,10",38343.02
"02,05,07,08,11",38335.42
"02,05,07,09,10",38335.42
"02,05,07,09,11",38372.67
"02,05,07,10,11",38335.42
"02,05,08,09,10",26571.02
"02,05,08,09,11",26563.42
"02,05,08,10,11",26571.02
"02,05,09,10,11",27235.79
"02,06,07,08,09",24756.08
"02,06,07,08,10",24874.78
"02,06,07,08,11",24756.08
"02,06,07,09,10",24756.08
"02,06,07,09,11",24748.48
"02,06,07,10,11",24756.08
"02,06,08,09,10",23929.82
"02,06,08,09,11",23811.12
"02,06,08,10,11",23929.82
"02,06,09,10,11",23846.59
"02,07,08,09,10",22514.14
"02,07,08,09,11",22506.54
"02,07,08,10,11",22514.14
"02,07,09,10,11",22542.01
"02,08,09,10,11",21596.21
"03,04,05,06,07",35587.395
"03,04,05,06,08",34556.675
"03,04,05,06,09",34548.075
"03,04,05,06,10",34555.675
"03,04,05,06,11",34548.075
"03,04,05,07,08",32689.5
"03,04,05,07,09",32725.75
"03,04,05,07,10",32688.5
"03,04,05,07,11",32725.75
"03,04,05,08,09",31735.1
"03,04,05,08,10",31742.7
"03,04,05,08,11",31735.1
"03,04,05,09,10",31735.1
"03,04,05,09,11",31772.35
"03,04,05,10,11",31735.1
"03,04,06,07,08",30784.41
"03,04,06,07,09",30775.81
"03,04,06,07,10",30783.41
"03,04,06,07,11",30775.81
"03,04,06,08,09",29830.01
"03,04,06,08,10",29948.71
"03,04,06,08,11",29830.01
"03,04,06,09,10",29830.01
"03,04,06,09,11",29822.41
"03,04,06,10,11",29830.01
"03,04,07,08,09",28230.2
"03,04,07,08,10",28237.8
"03,04,07,08,11",28230.2
"03,04,07,09,10",28230.2
"03,04,07,09,11",28267.45
"03,04,07,10,11",28230.2
"03,04,08,09,10",27292.84
"03,04,08,09,11",27285.24
